Station ID,Facility,Address,Phone
485,VISN 8: VA Sunshine Healthcare Network,"140 Fountain Parkway, Ste. 600   St. Petersburg, FL 33716",727-575-8069
516,Bay Pines VA Healthcare System,"10000 Bay Pines Blvd   Bay Pines, FL 33744",727-398-6661 Or 727-398-6661
573,North Florida/South Georgia Veterans Health System,"1601 S.W. Archer Road   Gainesville, FL 32608",352-376-1611
673,James A. Haley Veterans' Hospital,"13000 Bruce B. Downs   Tampa, FL 33612",813-972-2000
673QJ,James A. Haley Veterans' Hospital Primary Care Annex,"13515 Lake Terrace Lane   Tampa, FL 33637",813-998-8000
573A4,"Lake City VAMC, NF/SGVHS","619 S. Marion Avenue   Lake City, FL 32025-5808",386-755-3016 Or 800-308-8387
573,"Malcom Randall VAMC, NF/SGVHS","1601 S.W. Archer Road   Gainesville, FL 32608-1197",352-376-1611 Or 800-324-8387
546,Miami VA Healthcare System,"1201 N.W. 16th St.   Miami, FL 33125",305-575-7000 Or 305-575-7000
675,Orlando VA Medical Center,"13800 Veterans Way   Orlando, FL 32827",407-631-1000
548,West Palm Beach VAMC,"7305 N. Military Trail   West Palm Beach, FL 33410-6400",561-422-8262 Or 561-422-8262
548ZZ1,Clewiston Outpatient Clinic,"1100 Olympia Street   Clewiston, FL 33440",
573BY,Jacksonville OPC,"1536 N Jefferson St   Jacksonville, FL 32209",877-870-5048 Or 904-475-5800
675GG,Lake Baldwin OPC,"5201 Raymond Street   Orlando, FL 32803",407-646-5500
516BZ,Lee County VA Healthcare Center,"2489 Diplomat Parkway East   Cape Coral, FL 33909",239-652-1800
673BZ,New Port Richey OPC,"9912 Little Road   New Port Richey, FL 34654",727-869-4100
573BY,Southpoint Clinic,"6900 Southpoint Dr North   Jacksonville, FL 32209",904-470-6900
573GF,Tallahassee HCC,"2181 East Orange Avenue   Tallahassee, FL 32311",800-541-8387 Or 850-878-0191
573GI,The Villages OPC,"8900 SE 165th Mulberry Ln.   The Villages, FL 32162",877-649-0024 Or 352-674-5000
548ZZ2,VA Moore Haven Outpatient Clinic,"1021 Health Park Drive   Moore Haven, FL 33471",
675GA,Viera OPC,"2900 Veterans Way   Viera, FL 32940",321-637-3788
675GB,"William V. Chappell, Jr., VA OPC","551 National Health Care Drive   Daytona Beach, FL 32114",386-323-7500
548,St Lucie County PTSD Clinical Team (PCT) Outpatient Program,"126 SW Chamber Court   Port St Lucie, FL 34986",772-878-7876
548GD,Boca Raton CBOC,"901 Meadows Road   Boca Raton, FL 33433",561-416-8995
516GD,Bradenton Community-Based Outpatient Clinic,"5520 S.R. 64 Suite 101   Bradenton, FL 34208",941-721-0649
673GC,Brooksville CBOC,"14540 Cortez Blvd., Suite 108   Brooksville, FL 34613",352-597-8287
5924,Clermont Community Based Outpatient Clinic,"805 Oakley Seaver Drive   Clermont, FL 34711",352-536-8200
3333,Crossroads Annex,"925 South Semoran Blvd Suite 114   Winter Park, FL 32792",866-998-4365
546GH,Deerfield Beach VA Community Based Outpatient Clinic,"2100 S.W. 10th St.   Deerfield Beach, FL 33442",954-570-5572
548GB,Delray Beach CBOC,"4800 Linton Blvd., Building E, Suite 300   Delray Beach, FL 33445",561-495-1973
548GA,Fort Pierce CBOC,"1901 South 25th Street, Suite 103   Ft. Pierce, FL 34947",772-595-5150
546GA,Healthcare for Homeless Veterans,"1492 W. Flagler St., Suite 101   Miami, FL 33135",305-541-5864
546,Healthcare for Homeless Veterans,"1492 Flagler St   Miami, FL 33135",305-541-5864
546,Hollywood VA Community Based Outpatient Clinic,"3702 Washington St., Suite 201   Hollywood, FL 33021",954-986-1811
546GC,Homestead VA Community Based Outpatient Clinic,"950 Krome Ave., Suite 401   Homestead, FL 33030",305-248-0874
673QJ,James A. Haley Veterans' Hospital Primary Care Annex,"13515 Lake Terrace Lane   Tampa, FL 33637",813-998-8000
546GE,Key Largo VA Community Based Outpatient Clinic,"105662 Overseas Highway   Key Largo, FL 33037",305-451-0164
546GB,Key West VA Outpatient Clinic,"1300 Douglas Circle, Building L-15   Key West, FL 33040",305-293-4863
675GC,Kissimmee CBOC,"2285 North Central Avenue   Kissimmee, FL 34741",407-518-5004
673GB,Lakeland CBOC,"4237 South Pipkin Rd   Lakeland, FL 33811",863-701-2470
573GG,Lecanto CBOC,"2804 W. Marc Knighton Ct., Suite A   Lecanto, FL 34461",352-746-8000
573GK,Marianna CBOC,"4970 Highway 90   Marianna, FL 32446",850-718-5620
516GF,Naples Community-Based Outpatient Clinic,"2685 Horseshoe Drive South - Suite 101   Naples, FL 34104",239-659-9188
573GD,Ocala CBOC,"1515 Silver Springs Blvd.   Ocala, FL 34470",352-369-3320
548GF,Okeechobee CBOC,"1201 N. Parrot Avenue   Okeechobee, FL 34972",863-824-3232
675GD,Orange City CBOC,"2583 South Volusia Ave (17-92), Suite 300   Orange City, FL 32763",386-456-2080
573GL,Palatka CBOC,"400 North State Road 19, Suite 48   Palatka, FL 32177",386-329-8800
516GC,Palm Harbor Community-Based Outpatient Clinic,"35209 US Highway 19 North   Palm Harbor, FL 34684",727-734-5276
546GD,Pembroke Pines VA Community Based Outpatient Clinic,"7369 W. Sheridan St., Suite 102   Hollywood, FL 33024",954-894-1668
573GN,Perry CBOC,"1224 N. Peacock Ave.   Perry, FL 32347",850-223-8387
516GE,Port Charlotte Community-Based Outpatient Clinic,"4161 Tamiami Trail Suite 401 & Suite 602 (Annex Bldg)   Port Charlotte, FL 33952",941-235-2710
548,Port St Lucie PTSD Clinical Team (PCT) Outpatient Program,"128 SW Chamber Court   Port Saint Lucie, FL 34986",772-344-9288
573GE,Saint Augustine CBOC,"195 Southpark Blvd.   St. Augustine, FL 32086",866-401-8387 Or 904-829-0814
516GA,Sarasota Community-Based Outpatient Clinic,"5682 Bee Ridge Road, Suite 100   Sarasota, FL 34233",941-371-3349
516GH,Sebring Community-Based Outpatient Clinic,"5901 U.S. Highway 27 South   Sebring, FL 33870",863-471-6227
516GB,St. Petersburg Community-Based Outpatient Clinic,"840 Dr. MLK Jr. Street N   St. Petersburg, FL 33705",727-502-1700
548GC,Stuart CBOC,"3501 S E Willoughby Boulevard   Stuart, FL 34997",772-288-0304
675GE,Tavares Community Based Outpatient Clinic,"1390 E. Burleigh Blvd.   Tavares, FL 32778",352-253-2900
548GE,Vero Beach CBOC,"372 17th Street   Vero Beach, FL 32960",772-299-4623
546,William Bill Kling VA Clinic,"9800 W. Commercial Blvd.   Sunrise, FL 33351",954-475-5500
673GF,Zephyrhills CBOC,"6937 Medical View Ln   Zephyrhills, FL 33541",813-780-2550
0339V,Clearwater Vet Center,"29259 US Hwy 19 North   Clearwater, FL 33761",727-549-3600 Or 727-549-3600
675GF,Clermont Vet Center,"1655 East Highway 50, Suite 102   Clermont, FL 34711",352-536-6701 Or 877-927-8387
0341V,Daytona Beach Vet Center,"1620 Mason Ave., Suite C   Daytona Beach, FL 32117",386-366-6600 Or 386-366-6600
