"�..Station.ID","Facility","Address","Phone","lon","lat","geoAddress"
"485","VISN 8: VA Sunshine Healthcare Network","140 Fountain Parkway, Ste. 600   St. Petersburg, FL 33716","727-575-8069",-82.660553,27.890321,"1"
"516","Bay Pines VA Healthcare System","10000 Bay Pines Blvd   Bay Pines, FL 33744","727-398-6661 Or 727-398-6661",-82.770823,27.813913,"1"
"573","North Florida/South Georgia Veterans Health System","1601 S.W. Archer Road   Gainesville, FL 32608","352-376-1611",-82.386232,29.617212,"1"
"673","James A. Haley Veterans' Hospital","13000 Bruce B. Downs   Tampa, FL 33612","813-972-2000",-82.426093,28.06561,"1"
"673QJ","James A. Haley Veterans' Hospital Primary Care Annex","13515 Lake Terrace Lane   Tampa, FL 33637","813-998-8000",-82.385495,28.059347,"1"
"573A4","Lake City VAMC, NF/SGVHS","619 S. Marion Avenue   Lake City, FL 32025-5808","386-755-3016 Or 800-308-8387",-82.637979,30.166489,"1"
"573","Malcom Randall VAMC, NF/SGVHS","1601 S.W. Archer Road   Gainesville, FL 32608-1197","352-376-1611 Or 800-324-8387",-82.386232,29.617212,"1"
"546","Miami VA Healthcare System","1201 N.W. 16th St.   Miami, FL 33125","305-575-7000 Or 305-575-7000",-80.215074,25.790457,"1"
"675","Orlando VA Medical Center","13800 Veterans Way   Orlando, FL 32827","407-631-1000",-81.290418,28.399634,"1"
"548","West Palm Beach VAMC","7305 N. Military Trail   West Palm Beach, FL 33410-6400","561-422-8262 Or 561-422-8262",-80.107304,26.784146,"1"
"548ZZ1","Clewiston Outpatient Clinic","1100 Olympia Street   Clewiston, FL 33440","",-80.940117,26.743173,"1"
"573BY","Jacksonville OPC","1536 N Jefferson St   Jacksonville, FL 32209","877-870-5048 Or 904-475-5800",-81.662719,30.34489,"1"
"675GG","Lake Baldwin OPC","5201 Raymond Street   Orlando, FL 32803","407-646-5500",-81.322228,28.578972,"1"
"516BZ","Lee County VA Healthcare Center","2489 Diplomat Parkway East   Cape Coral, FL 33909","239-652-1800",-81.927223,26.682634,"1"
"673BZ","New Port Richey OPC","9912 Little Road   New Port Richey, FL 34654","727-869-4100",-82.671062,28.299355,"1"
"573BY","Southpoint Clinic","6900 Southpoint Dr North   Jacksonville, FL 32209","904-470-6900",-81.587776,30.255861,"1"
"573GF","Tallahassee HCC","2181 East Orange Avenue   Tallahassee, FL 32311","800-541-8387 Or 850-878-0191",-84.221285,30.41195,"1"
"573GI","The Villages OPC","8900 SE 165th Mulberry Ln.   The Villages, FL 32162","877-649-0024 Or 352-674-5000",-82.006369,28.981177,"1"
"548ZZ2","VA Moore Haven Outpatient Clinic","1021 Health Park Drive   Moore Haven, FL 33471","",-81.079388,26.829761,"1"
"675GA","Viera OPC","2900 Veterans Way   Viera, FL 32940","321-637-3788",-80.690702,28.251982,"1"
"675GB","William V. Chappell, Jr., VA OPC","551 National Health Care Drive   Daytona Beach, FL 32114","386-323-7500",-81.06201,29.2059,"1"
"548","St Lucie County PTSD Clinical Team (PCT) Outpatient Program","126 SW Chamber Court   Port St Lucie, FL 34986","772-878-7876",-80.40643,27.356999,"1"
"548GD","Boca Raton CBOC","901 Meadows Road   Boca Raton, FL 33433","561-416-8995",-80.104102,26.358718,"1"
"516GD","Bradenton Community-Based Outpatient Clinic","5520 S.R. 64 Suite 101   Bradenton, FL 34208","941-721-0649",-82.480784,27.499281,"1"
"673GC","Brooksville CBOC","14540 Cortez Blvd., Suite 108   Brooksville, FL 34613","352-597-8287",-82.484151,28.533807,"1"
"5924","Clermont Community Based Outpatient Clinic","805 Oakley Seaver Drive   Clermont, FL 34711","352-536-8200",-81.36359,28.311676,"1"
"3333","Crossroads Annex","925 South Semoran Blvd Suite 114   Winter Park, FL 32792","866-998-4365",-81.307006,28.583432,"1"
"546GH","Deerfield Beach VA Community Based Outpatient Clinic","2100 S.W. 10th St.   Deerfield Beach, FL 33442","954-570-5572",-80.132124,26.304307,"1"
"548GB","Delray Beach CBOC","4800 Linton Blvd., Building E, Suite 300   Delray Beach, FL 33445","561-495-1973",-80.118432,26.43928,"1"
"548GA","Fort Pierce CBOC","1901 South 25th Street, Suite 103   Ft. Pierce, FL 34947","772-595-5150",-80.350256,27.429314,"1"
"546GA","Healthcare for Homeless Veterans","1492 W. Flagler St., Suite 101   Miami, FL 33135","305-541-5864",-80.219387,25.77282,"1"
"546","Healthcare for Homeless Veterans","1492 Flagler St   Miami, FL 33135","305-541-5864",-80.219352,25.773265,"1"
"546","Hollywood VA Community Based Outpatient Clinic","3702 Washington St., Suite 201   Hollywood, FL 33021","954-986-1811",-80.180562,26.00312,"1"
"546GC","Homestead VA Community Based Outpatient Clinic","950 Krome Ave., Suite 401   Homestead, FL 33030","305-248-0874",-80.477302,25.465294,"1"
"673QJ","James A. Haley Veterans' Hospital Primary Care Annex","13515 Lake Terrace Lane   Tampa, FL 33637","813-998-8000",-82.385495,28.059347,"1"
"546GE","Key Largo VA Community Based Outpatient Clinic","105662 Overseas Highway   Key Largo, FL 33037","305-451-0164",-80.382523,25.16152,"1"
"546GB","Key West VA Outpatient Clinic","1300 Douglas Circle, Building L-15   Key West, FL 33040","305-293-4863",-81.751919,24.568419,"1"
"675GC","Kissimmee CBOC","2285 North Central Avenue   Kissimmee, FL 34741","407-518-5004",-81.40861,28.310779,"1"
"673GB","Lakeland CBOC","4237 South Pipkin Rd   Lakeland, FL 33811","863-701-2470",-81.996242,27.994407,"1"
"573GG","Lecanto CBOC","2804 W. Marc Knighton Ct., Suite A   Lecanto, FL 34461","352-746-8000",-82.480371,28.905927,"1"
"573GK","Marianna CBOC","4970 Highway 90   Marianna, FL 32446","850-718-5620",-85.190063,30.750593,"1"
